user_id,decision_id,timestamp,task_difficulty,risk_level,reward_value,time_pressure,decision_time,chosen_option,is_correct
U01,1,2026-01-26 22:44:14.343836,0.95,0.73,0.6,0.16,4.4,B,0
U01,2,2026-01-26 22:45:14.343836,0.06,0.72,0.94,0.0,3.14,A,0
U01,3,2026-01-26 22:46:14.343836,0.3,0.52,0.43,0.29,2.39,C,1
U01,4,2026-01-26 22:47:14.343836,0.46,0.79,0.2,0.51,2.89,C,0
U01,5,2026-01-26 22:48:14.343836,0.86,0.68,0.45,0.01,4.36,B,0
U01,6,2026-01-26 22:49:14.343836,0.1,0.68,0.44,0.12,2.9,C,1
U01,7,2026-01-26 22:50:14.343836,0.17,0.39,0.18,0.76,1.29,A,1
U01,8,2026-01-26 22:51:14.343836,0.97,0.78,0.94,0.89,3.08,C,0
U01,9,2026-01-26 22:52:14.343836,0.09,0.2,0.05,0.33,1.72,B,0
U01,10,2026-01-26 22:53:14.343836,0.97,0.61,0.28,0.3,3.82,A,1
U01,11,2026-01-26 22:54:14.343836,0.99,0.77,0.2,0.01,4.82,A,0
U01,12,2026-01-26 22:55:14.343836,0.61,0.93,0.65,0.91,2.82,B,0
U01,13,2026-01-26 22:56:14.343836,0.1,0.37,0.67,0.67,1.19,C,1
U01,14,2026-01-26 22:57:14.343836,0.12,0.71,0.76,0.56,2.28,C,0
U01,15,2026-01-26 22:58:14.343836,0.04,0.71,0.11,0.44,2.11,A,1
U01,16,2026-01-26 22:59:14.343836,0.51,0.91,0.25,0.41,2.98,A,0
U01,17,2026-01-26 23:00:14.343836,0.08,0.29,0.16,0.93,1.58,B,0
U01,18,2026-01-26 23:01:14.343836,0.88,0.32,0.12,0.36,4.32,A,0
U01,19,2026-01-26 23:02:14.343836,0.23,0.43,0.82,0.86,1.79,A,1
U01,20,2026-01-26 23:03:14.343836,0.69,0.27,0.24,0.17,3.66,A,1
U01,21,2026-01-26 23:04:14.343836,0.4,0.06,0.25,0.25,3.5,A,1
U01,22,2026-01-26 23:05:14.343836,0.27,0.98,0.41,0.03,3.51,A,1
U01,23,2026-01-26 23:06:14.343836,0.24,0.14,0.49,0.99,1.93,C,0
U01,24,2026-01-26 23:07:14.343836,0.24,0.8,0.47,0.98,1.17,C,1
U01,25,2026-01-26 23:08:14.343836,0.09,0.84,0.32,0.19,2.56,C,0
U01,26,2026-01-26 23:09:14.343836,0.71,0.81,0.35,0.1,3.7,C,0
U01,27,2026-01-26 23:10:14.343836,0.94,0.14,0.34,0.11,4.65,A,0
U01,28,2026-01-26 23:11:14.343836,0.52,0.26,1.0,0.97,1.72,C,0
U01,29,2026-01-26 23:12:14.343836,0.19,0.28,0.7,0.85,1.62,C,0
U01,30,2026-01-26 23:13:14.343836,0.94,0.79,0.67,0.58,4.05,A,0
U01,31,2026-01-26 23:14:14.343836,0.66,0.01,0.16,0.55,3.55,A,1
U01,32,2026-01-26 23:15:14.343836,0.02,0.49,0.18,0.37,2.64,C,0
U01,33,2026-01-26 23:16:14.343836,0.66,0.57,0.09,0.37,3.03,A,0
U01,34,2026-01-26 23:17:14.343836,0.49,0.91,0.43,0.35,2.75,C,0
U01,35,2026-01-26 23:18:14.343836,0.49,0.2,0.72,0.28,3.2,B,1
U01,36,2026-01-26 23:19:14.343836,0.95,0.91,0.37,0.02,4.45,A,0
U01,37,2026-01-26 23:20:14.343836,0.55,0.57,0.98,0.08,3.24,C,1
U01,38,2026-01-26 23:21:14.343836,0.17,0.56,0.94,0.7,1.68,B,1
U01,39,2026-01-26 23:22:14.343836,0.62,0.99,0.14,0.52,3.22,C,0
U01,40,2026-01-26 23:23:14.343836,0.71,0.55,0.3,0.42,3.64,A,1
U02,1,2026-01-26 23:24:14.343836,0.01,0.63,0.19,0.07,1.43,C,0
U02,2,2026-01-26 23:25:14.343836,0.38,0.09,0.58,0.04,2.39,C,1
U02,3,2026-01-26 23:26:14.343836,0.98,0.84,0.86,0.25,2.54,A,0
U02,4,2026-01-26 23:27:14.343836,0.46,0.84,0.19,0.41,2.21,A,0
U02,5,2026-01-26 23:28:14.343836,0.97,0.71,0.04,0.4,3.72,B,0
U02,6,2026-01-26 23:29:14.343836,0.96,0.84,0.7,0.41,2.88,A,1
